transaction_id,customer_id,product_id,sales_rep_id,channel,order_date,invoice_date,quantity,unit_price,discount_rate,gross_revenue,net_revenue,cost,gross_margin,currency,order_status
TXN000001,CUST0014,PRD012,REP011,Distributor,2024-01-14,2024-01-22,5,1819.77,0.039,9098.85,8743.99,4013.3,4730.69,EUR,Invoiced
TXN000002,CUST0039,PRD008,REP005,Partner,2024-01-05,2024-01-08,8,3813.01,0.045,30504.08,29131.4,14940.0,14191.4,EUR,Invoiced
TXN000003,CUST0080,PRD002,REP006,Distributor,2024-01-01,2024-01-06,1,7150.9,0.132,7150.9,6206.98,3917.69,2289.29,EUR,Invoiced
TXN000004,CUST0029,PRD005,REP006,Partner,2024-01-11,2024-01-12,11,4139.72,0.068,45536.92,42440.41,24015.8,18424.61,EUR,Shipped
TXN000005,CUST0063,PRD009,REP004,Direct,2024-01-20,2024-01-23,4,5733.56,0.073,22934.24,21260.04,11793.86,9466.18,EUR,Invoiced
TXN000006,CUST0011,PRD011,REP006,Partner,2024-01-11,2024-01-11,5,3149.21,0.058,15746.05,14832.78,6258.85,8573.93,EUR,Invoiced
TXN000007,CUST0035,PRD008,REP008,Direct,2024-01-02,2024-01-11,4,3472.69,0.026,13890.76,13529.6,7415.18,6114.42,EUR,Invoiced
TXN000008,CUST0024,PRD006,REP003,Direct,2024-01-25,2024-01-29,5,2537.72,0.026,0.0,0.0,0.0,0.0,EUR,Cancelled
TXN000009,CUST0001,PRD006,REP010,Distributor,2024-01-07,2024-01-14,12,2801.54,0.081,33618.48,30895.38,15071.12,15824.26,EUR,Invoiced
TXN000010,CUST0090,PRD008,REP005,Online,2024-01-25,2024-01-31,6,3485.6,0.048,20913.6,19909.75,10447.15,9462.6,EUR,Invoiced
TXN000011,CUST0090,PRD005,REP005,Distributor,2024-01-17,2024-01-24,2,4066.3,0.033,8132.6,7864.22,4181.99,3682.23,EUR,Shipped
TXN000012,CUST0010,PRD010,REP012,Online,2024-01-06,2024-01-08,8,5311.08,0.017,42488.64,41766.33,19366.8,22399.53,EUR,Invoiced
TXN000013,CUST0053,PRD012,REP006,Partner,2024-01-14,2024-01-21,5,1790.79,0.06,8953.95,8416.71,4016.46,4400.25,EUR,Invoiced
TXN000014,CUST0029,PRD008,REP002,Partner,2024-01-01,2024-01-02,9,3668.82,0.102,33019.38,29651.4,16915.63,12735.77,EUR,Invoiced
TXN000015,CUST0051,PRD006,REP003,Distributor,2024-01-27,2024-01-27,6,2597.11,0.076,15582.66,14398.38,7556.39,6841.99,EUR,Invoiced
TXN000016,CUST0036,PRD005,REP011,Partner,2024-01-09,2024-01-15,5,4062.12,0.009,20310.6,20127.8,10197.94,9929.86,EUR,Invoiced
TXN000017,CUST0043,PRD009,REP005,Direct,2024-01-20,2024-01-25,2,5567.18,0.133,11134.36,9653.49,5796.54,3856.95,EUR,Invoiced
TXN000018,CUST0036,PRD012,REP011,Distributor,2024-01-01,2024-01-09,6,1746.19,0.022,10477.14,10246.64,5012.7,5233.94,EUR,Invoiced
TXN000019,CUST0085,PRD004,REP005,Direct,2024-01-05,2024-01-09,14,1437.36,0.081,20123.04,18493.07,9300.89,9192.18,EUR,Invoiced
TXN000020,CUST0074,PRD009,REP009,Partner,2024-01-09,2024-01-15,3,5917.75,0.067,17753.25,16563.78,8699.69,7864.09,EUR,Invoiced
TXN000021,CUST0057,PRD009,REP005,Direct,2024-01-08,2024-01-14,7,5999.11,0.041,41993.77,40272.03,20839.92,19432.11,EUR,Invoiced
TXN000022,CUST0081,PRD010,REP009,Online,2024-01-09,2024-01-18,6,5770.36,0.109,34622.16,30848.34,14628.98,16219.36,EUR,Invoiced
TXN000023,CUST0056,PRD005,REP001,Direct,2024-01-17,2024-01-25,2,4235.86,0.05,8471.72,8048.13,4416.25,3631.88,EUR,Invoiced
TXN000024,CUST0081,PRD003,REP005,Partner,2024-01-26,2024-01-27,14,2139.69,0.191,29955.66,24234.13,13476.83,10757.3,EUR,Invoiced
TXN000025,CUST0043,PRD001,REP009,Online,2024-01-01,2024-01-09,4,8753.79,0.067,35015.16,32669.14,18400.41,14268.73,EUR,Open
TXN000026,CUST0003,PRD012,REP001,Direct,2024-01-03,2024-01-05,4,1719.41,0.027,6877.64,6691.94,3290.0,3401.94,EUR,Invoiced
TXN000027,CUST0055,PRD003,REP008,Distributor,2024-01-22,2024-01-26,3,2229.75,0.03,0.0,0.0,0.0,0.0,EUR,Cancelled
TXN000028,CUST0087,PRD005,REP003,Partner,2024-01-11,2024-01-19,8,4306.44,0.05,34451.52,32728.94,16901.47,15827.47,EUR,Shipped
TXN000029,CUST0073,PRD003,REP007,Direct,2024-01-11,2024-01-13,2,2020.51,0.014,4041.02,3984.45,1891.41,2093.04,EUR,Invoiced
TXN000030,CUST0047,PRD002,REP006,Distributor,2024-01-05,2024-01-08,7,7395.19,0.032,51766.33,50109.81,28547.38,21562.43,EUR,Invoiced
TXN000031,CUST0036,PRD008,REP011,Partner,2024-01-06,2024-01-06,7,3841.87,0.035,26893.09,25951.83,13112.27,12839.56,EUR,Invoiced
TXN000032,CUST0046,PRD003,REP009,Online,2024-01-13,2024-01-17,4,2187.88,0.076,8751.52,8086.4,3491.53,4594.87,EUR,Invoiced
TXN000033,CUST0089,PRD001,REP001,Distributor,2024-01-20,2024-01-23,11,8575.1,0.092,94326.1,85648.1,48801.6,36846.5,EUR,Invoiced
TXN000034,CUST0031,PRD009,REP010,Direct,2024-01-17,2024-01-25,14,5662.23,0.153,79271.22,67142.72,41795.85,25346.87,EUR,Invoiced
TXN000035,CUST0056,PRD011,REP001,Distributor,2024-01-02,2024-01-07,4,3098.5,0.042,12394.0,11873.45,5022.44,6851.01,EUR,Invoiced
TXN000036,CUST0059,PRD003,REP011,Direct,2024-01-20,2024-01-24,7,1992.77,0.046,13949.39,13307.72,6112.28,7195.44,EUR,Invoiced
TXN000037,CUST0063,PRD010,REP012,Direct,2024-01-03,2024-01-04,2,5734.54,0.031,11469.08,11113.54,5030.31,6083.23,EUR,Open
TXN000038,CUST0067,PRD001,REP008,Partner,2024-01-05,2024-01-13,9,7978.7,0.056,71808.3,67787.04,40814.44,26972.6,EUR,Invoiced
TXN000039,CUST0032,PRD003,REP009,Direct,2024-01-12,2024-01-19,8,2124.27,0.098,16994.16,15328.73,7221.07,8107.66,EUR,Invoiced
TXN000040,CUST0024,PRD011,REP007,Direct,2024-01-26,2024-01-29,8,3408.35,0.094,27266.8,24703.72,10559.25,14144.47,EUR,Invoiced
TXN000041,CUST0081,PRD011,REP005,Partner,2024-01-25,2024-02-02,7,3193.87,0.102,22357.09,20076.67,9826.21,10250.46,EUR,Invoiced
TXN000042,CUST0090,PRD006,REP009,Partner,2024-01-17,2024-01-20,2,2704.8,0.052,5409.6,5128.3,2546.18,2582.12,EUR,Invoiced
TXN000043,CUST0083,PRD006,REP008,Distributor,2024-01-14,2024-01-15,3,2528.61,0.024,7585.83,7403.77,3508.15,3895.62,EUR,Invoiced
TXN000044,CUST0032,PRD012,REP001,Direct,2024-01-12,2024-01-16,12,1717.07,0.079,20604.84,18977.06,9129.14,9847.92,EUR,Shipped
TXN000045,CUST0030,PRD010,REP005,Partner,2024-01-12,2024-01-12,4,5493.24,0.062,21972.96,20610.64,10675.28,9935.36,EUR,Invoiced
TXN000046,CUST0069,PRD002,REP006,Partner,2024-01-22,2024-01-27,7,7451.57,0.05,52160.99,49552.94,28694.6,20858.34,EUR,Invoiced
TXN000047,CUST0057,PRD012,REP005,Online,2024-01-17,2024-01-22,4,1775.07,0.033,7100.28,6865.97,3251.96,3614.01,EUR,Open
TXN000048,CUST0041,PRD007,REP011,Distributor,2024-01-15,2024-01-15,7,1967.34,0.151,13771.38,11691.9,6264.82,5427.08,EUR,Open
TXN000049,CUST0073,PRD006,REP003,Direct,2024-01-15,2024-01-23,7,2663.43,0.017,18644.01,18327.06,8443.43,9883.63,EUR,Invoiced
TXN000050,CUST0084,PRD008,REP006,Direct,2024-01-27,2024-01-30,14,3687.63,0.103,51626.82,46309.26,25833.79,20475.47,EUR,Invoiced
TXN000051,CUST0074,PRD003,REP009,Online,2024-01-08,2024-01-17,1,2181.93,0.025,2181.93,2127.38,951.43,1175.95,EUR,Invoiced
TXN000052,CUST0025,PRD005,REP009,Direct,2024-01-08,2024-01-15,12,4425.39,0.039,53104.68,51033.6,27015.76,24017.84,EUR,Invoiced
TXN000053,CUST0045,PRD009,REP001,Direct,2024-01-19,2024-01-22,3,5586.47,0.08,16759.41,15418.66,8115.19,7303.47,EUR,Shipped
TXN000054,CUST0024,PRD004,REP007,Direct,2024-01-27,2024-02-01,6,1415.08,0.044,8490.48,8116.9,3852.46,4264.44,EUR,Invoiced
TXN000055,CUST0031,PRD011,REP010,Direct,2024-01-19,2024-01-26,9,3088.44,0.049,27795.96,26433.96,12291.16,14142.8,EUR,Shipped
TXN000056,CUST0049,PRD010,REP011,Direct,2024-01-27,2024-02-03,8,5153.32,0.129,41226.56,35908.33,20276.5,15631.83,EUR,Invoiced
TXN000057,CUST0011,PRD012,REP002,Partner,2024-01-10,2024-01-18,9,1808.19,0.07,16273.71,15134.55,7169.68,7964.87,EUR,Shipped
TXN000058,CUST0001,PRD012,REP010,Partner,2024-01-04,2024-01-12,5,1795.98,0.089,8979.9,8180.69,4179.98,4000.71,EUR,Shipped
TXN000059,CUST0070,PRD011,REP010,Online,2024-01-13,2024-01-17,5,3195.77,0.033,15978.85,15451.55,6700.98,8750.57,EUR,Invoiced
TXN000060,CUST0043,PRD012,REP009,Direct,2024-01-02,2024-01-06,5,1644.34,0.058,8221.7,7744.84,4192.61,3552.23,EUR,Shipped
TXN000061,CUST0085,PRD001,REP005,Direct,2024-01-15,2024-01-19,9,7945.33,0.068,71507.97,66645.43,40656.88,25988.55,EUR,Shipped
TXN000062,CUST0004,PRD003,REP004,Distributor,2024-01-09,2024-01-14,1,2070.06,0.027,2070.06,2014.17,965.36,1048.81,EUR,Invoiced
TXN000063,CUST0032,PRD009,REP001,Direct,2024-01-22,2024-01-29,13,5573.08,0.064,72450.04,67813.24,39198.97,28614.27,EUR,Open
TXN000064,CUST0061,PRD010,REP005,Direct,2024-01-27,2024-01-28,2,5333.57,0.042,10667.14,10219.12,5132.95,5086.17,EUR,Invoiced
TXN000065,CUST0070,PRD009,REP006,Direct,2024-01-26,2024-02-03,6,6330.85,0.092,37985.1,34490.47,17912.48,16577.99,EUR,Invoiced
TXN000066,CUST0033,PRD007,REP007,Partner,2024-01-19,2024-01-23,5,1979.65,0.024,9898.25,9660.69,4223.15,5437.54,EUR,Invoiced
TXN000067,CUST0040,PRD010,REP007,Partner,2024-01-02,2024-01-02,4,5463.23,0.068,21852.92,20366.92,10086.84,10280.08,EUR,Invoiced
TXN000068,CUST0032,PRD012,REP009,Partner,2024-01-15,2024-01-24,5,1652.6,0.101,0.0,0.0,0.0,0.0,EUR,Cancelled
TXN000069,CUST0058,PRD009,REP005,Direct,2024-01-25,2024-01-26,1,5641.08,0.03,5641.08,5471.85,2976.75,2495.1,EUR,Invoiced
TXN000070,CUST0056,PRD011,REP001,Direct,2024-01-11,2024-01-16,6,3407.03,0.063,20442.18,19154.32,7596.48,11557.84,EUR,Invoiced
TXN000071,CUST0039,PRD012,REP009,Direct,2024-01-19,2024-01-19,8,1684.73,0.017,13477.84,13248.72,6303.91,6944.81,EUR,Invoiced
TXN000072,CUST0040,PRD011,REP003,Partner,2024-01-05,2024-01-08,5,3059.96,0.086,15299.8,13984.02,6338.36,7645.66,EUR,Open
TXN000073,CUST0035,PRD003,REP012,Distributor,2024-01-21,2024-01-26,6,1996.66,0.04,11979.96,11500.76,5191.12,6309.64,EUR,Invoiced
