check_name,table_name,status,records_checked,failed_records,failure_rate,severity,check_timestamp
required_columns_exist,customers,pass,9,0,0.0,critical,2026-05-24T15:59:47.835873
no_nulls_in_required_columns,customers,pass,810,0,0.0,high,2026-05-24T15:59:47.836259
required_columns_exist,products,pass,7,0,0.0,critical,2026-05-24T15:59:47.836277
no_nulls_in_required_columns,products,pass,84,0,0.0,high,2026-05-24T15:59:47.836515
required_columns_exist,sales_transactions,pass,16,0,0.0,critical,2026-05-24T15:59:47.836529
no_nulls_in_required_columns,sales_transactions,pass,55152,0,0.0,high,2026-05-24T15:59:47.837339
required_columns_exist,sales_reps,pass,6,0,0.0,critical,2026-05-24T15:59:47.837350
no_nulls_in_required_columns,sales_reps,pass,72,0,0.0,high,2026-05-24T15:59:47.837512
required_columns_exist,monthly_targets,pass,7,0,0.0,critical,2026-05-24T15:59:47.837524
no_nulls_in_required_columns,monthly_targets,pass,7406,0,0.0,high,2026-05-24T15:59:47.837827
required_columns_exist,calendar,pass,5,0,0.0,critical,2026-05-24T15:59:47.837837
no_nulls_in_required_columns,calendar,pass,3655,0,0.0,high,2026-05-24T15:59:47.838096
no_duplicate_transaction_ids,sales_transactions,pass,3447,0,0.0,critical,2026-05-24T15:59:47.838242
customer_ids_match_reference,sales_transactions,pass,3447,0,0.0,critical,2026-05-24T15:59:47.838418
product_ids_match_reference,sales_transactions,pass,3447,0,0.0,critical,2026-05-24T15:59:47.838547
sales_rep_ids_match_reference,sales_transactions,pass,3447,0,0.0,critical,2026-05-24T15:59:47.838668
revenue_values_non_negative,sales_transactions,pass,3447,0,0.0,critical,2026-05-24T15:59:47.838993
quantity_positive_for_active_orders,sales_transactions,pass,3447,0,0.0,critical,2026-05-24T15:59:47.839049
discount_rate_between_0_and_1,sales_transactions,pass,3447,0,0.0,critical,2026-05-24T15:59:47.839156
unit_price_non_negative,sales_transactions,pass,3447,0,0.0,critical,2026-05-24T15:59:47.839196
cost_non_negative,sales_transactions,pass,3447,0,0.0,critical,2026-05-24T15:59:47.839233
gross_margin_calculated_consistently,sales_transactions,pass,3447,0,0.0,critical,2026-05-24T15:59:47.839357
order_date_not_after_invoice_date,sales_transactions,pass,3447,0,0.0,high,2026-05-24T15:59:47.844236
valid_order_statuses,sales_transactions,pass,3447,0,0.0,high,2026-05-24T15:59:47.844367
valid_customer_active_flags,customers,pass,90,0,0.0,high,2026-05-24T15:59:47.844422
valid_product_active_flags,products,pass,12,0,0.0,high,2026-05-24T15:59:47.844470
no_duplicate_customer_ids,customers,pass,90,0,0.0,critical,2026-05-24T15:59:47.844502
no_duplicate_product_ids,products,pass,12,0,0.0,critical,2026-05-24T15:59:47.844527
target_values_non_negative,monthly_targets,pass,1058,0,0.0,high,2026-05-24T15:59:47.844723
